"approved_symbol"	"previous_symbols"	"alias_symbols"	"LNCipedia"	"all"
"B4GALT5"	""	"beta4GalT-V"	""	"B4GALT5,,beta4GalT-V,"
"BAALC"	""	""	""	"BAALC,,,"
"BAALC-AS1"	""	"lncFZD6, FZD6-DT"	"BAALC-AS1"	"BAALC-AS1,,lncFZD6, FZD6-DT,BAALC-AS1"
"BAALC-AS2"	"C8orf56, BAALCOS"	"MGC39526"	"BAALC-AS2"	"BAALC-AS2,C8orf56, BAALCOS,MGC39526,BAALC-AS2"
"BABAM1"	"C19orf62"	"FLJ20571, HSPC142, NBA1, MERIT40"	""	"BABAM1,C19orf62,FLJ20571, HSPC142, NBA1, MERIT40,"
"BABAM2"	"BRE"	"BRCC45, BRCC4"	""	"BABAM2,BRE,BRCC45, BRCC4,"
"BAD"	""	"BCL2L8, BBC2"	""	"BAD,,BCL2L8, BBC2,"
"BAG4"	""	"SODD"	""	"BAG4,,SODD,"
"BAG5"	""	""	""	"BAG5,,,"
"BAIAP2"	""	"BAP2, IRSp53, WAML"	""	"BAIAP2,,BAP2, IRSp53, WAML,"
"BAIAP2-DT"	"BAIAP2-AS1"	"lnc-BAIAP2"	"BAIAP2-AS1"	"BAIAP2-DT,BAIAP2-AS1,lnc-BAIAP2,BAIAP2-AS1"
"BAIAP2L2"	""	"FLJ22582, pinkbar"	""	"BAIAP2L2,,FLJ22582, pinkbar,"
"BASP1"	""	"NAP-22, NAP22, CAP23, CAP-23"	""	"BASP1,,NAP-22, NAP22, CAP23, CAP-23,"
"BASP1-AS1"	""	"LOC285696"	""	"BASP1-AS1,,LOC285696,"
"BATF2"	""	"MGC20410"	""	"BATF2,,MGC20410,"
"BATF3"	""	"JUNDM1, SNFT, JDP1"	""	"BATF3,,JUNDM1, SNFT, JDP1,"
"BCAM"	"LU"	"CD239"	""	"BCAM,LU,CD239,"
"BCAN"	""	"BEHAB, MGC13038, CSPG7"	""	"BCAN,,BEHAB, MGC13038, CSPG7,"
"BCAS1"	""	"NABC1, AIBC1, PMES-2"	""	"BCAS1,,NABC1, AIBC1, PMES-2,"
"BCAS4"	""	"FLJ20495, CNOL"	""	"BCAS4,,FLJ20495, CNOL,"
"BCAT1"	"BCT1"	"BCATc"	""	"BCAT1,BCT1,BCATc,"
"BCAT2"	"BCT2"	"BCAM, BCATm"	""	"BCAT2,BCT2,BCAM, BCATm,"
"BCHE"	"CHE1, CHE2"	"E1"	""	"BCHE,CHE1, CHE2,E1,"
"BCKDK"	""	""	""	"BCKDK,,,"
"BCL2L1"	""	"BCLX, BCL2L, Bcl-X, bcl-xL, bcl-xS, PPP1R52"	""	"BCL2L1,,BCLX, BCL2L, Bcl-X, bcl-xL, bcl-xS, PPP1R52,"
"BCL3"	"D19S37, BCL4"	""	""	"BCL3,D19S37, BCL4,,"
"BCL6"	"ZNF51"	"ZBTB27, LAZ3, BCL5, BCL6A"	""	"BCL6,ZNF51,ZBTB27, LAZ3, BCL5, BCL6A,"
"BCL7C"	""	"SMARCJ3"	""	"BCL7C,,SMARCJ3,"
"BCL9"	""	""	""	"BCL9,,,"
"BDH1"	"BDH"	"SDR9C1"	""	"BDH1,BDH,SDR9C1,"
"BEND3P3"	""	""	""	"BEND3P3,,,"
"BEST2"	"VMD2L1"	"FLJ20132"	""	"BEST2,VMD2L1,FLJ20132,"
"BGLAP"	""	"OCN"	""	"BGLAP,,OCN,"
"BHLHE22"	"TNRC20, BHLHB5"	"CAGL85, Beta3"	""	"BHLHE22,TNRC20, BHLHB5,CAGL85, Beta3,"
"BHLHE23"	"BHLHB4"	"bA305P22.3, Beta4"	""	"BHLHE23,BHLHB4,bA305P22.3, Beta4,"
"BIN3"	""	""	""	"BIN3,,,"
"BIN3-IT1"	""	"FLJ14107"	""	"BIN3-IT1,,FLJ14107,"
"BIRC5"	"API4"	"EPR-1, survivin"	""	"BIRC5,API4,EPR-1, survivin,"
"BIRC7"	""	"mliap, ML-IAP, KIAP, RNF50"	""	"BIRC7,,mliap, ML-IAP, KIAP, RNF50,"
"BLACAT1"	""	"linc-UBC1, LINC00912, onco-lncRNA-30"	""	"BLACAT1,,linc-UBC1, LINC00912, onco-lncRNA-30,"
"BLK"	""	"MGC10442"	""	"BLK,,MGC10442,"
"BLOC1S3"	""	"BLOS3, HPS8"	""	"BLOC1S3,,BLOS3, HPS8,"
"BLVRB"	"FLR"	"SDR43U1"	""	"BLVRB,FLR,SDR43U1,"
"BLZF1"	""	"JEM-1"	""	"BLZF1,,JEM-1,"
"BMP1"	"PCOLC"	"BMP-1"	""	"BMP1,PCOLC,BMP-1,"
"BMP7"	""	"OP-1"	""	"BMP7,,OP-1,"
"BMP8A"	""	"OP-2"	""	"BMP8A,,OP-2,"
"BMP8B"	"BMP8"	"OP-2"	""	"BMP8B,BMP8,OP-2,"
"BMS1P21"	""	""	""	"BMS1P21,,,"
"BNIP3L"	""	"Nix, BNIP3a"	""	"BNIP3L,,Nix, BNIP3a,"
"BNIPL"	""	"BNIPl-1, BNIPL-2, PP753, BNIP-S, BNIP-Salpha, BNIP-Sbeta"	""	"BNIPL,,BNIPl-1, BNIPL-2, PP753, BNIP-S, BNIP-Salpha, BNIP-Sbeta,"
"BOLA1"	""	"CGI-143"	""	"BOLA1,,CGI-143,"
"BOP1"	""	"KIAA0124"	""	"BOP1,,KIAA0124,"
"BORCS8"	"MEF2BNB"	""	""	"BORCS8,MEF2BNB,,"
"BORCS8-MEF2B"	"MEF2BNB-MEF2B"	""	""	"BORCS8-MEF2B,MEF2BNB-MEF2B,,"
"BPESC1"	""	"NCRNA00187"	"BPESC1"	"BPESC1,,NCRNA00187,BPESC1"
"BPIFA1"	"PLUNC"	"LUNX, bA49G10.5, SPLUNC1"	""	"BPIFA1,PLUNC,LUNX, bA49G10.5, SPLUNC1,"
"BPIFA2"	"C20orf70"	"bA49G10.1, SPLUNC2, PSP"	""	"BPIFA2,C20orf70,bA49G10.1, SPLUNC2, PSP,"
"BPIFA3"	"C20orf71"	"bA49G10.4, SPLUNC3"	""	"BPIFA3,C20orf71,bA49G10.4, SPLUNC3,"
"BPIFA4P"	""	"BASE"	""	"BPIFA4P,,BASE,"
"BPIFB1"	"C20orf114"	"dJ1187J4.1, MGC14597, bA49G10.6, LPLUNC1, VEMSGP"	""	"BPIFB1,C20orf114,dJ1187J4.1, MGC14597, bA49G10.6, LPLUNC1, VEMSGP,"
"BPIFB2"	"C20orf184, BPIL1"	"dJ726C3.2, LPLUNC2"	""	"BPIFB2,C20orf184, BPIL1,dJ726C3.2, LPLUNC2,"
"BPIFB3"	"C20orf185"	"dJ726C3.4, LPLUNC3, RYA3"	""	"BPIFB3,C20orf185,dJ726C3.4, LPLUNC3, RYA3,"
"BPIFB4"	"C20orf186"	"dJ726C3.5, LPLUNC4"	""	"BPIFB4,C20orf186,dJ726C3.5, LPLUNC4,"
"BPIFB6"	"BPIL3"	"LPLUNC6"	""	"BPIFB6,BPIL3,LPLUNC6,"
"BPNT1"	""	""	""	"BPNT1,,,"
"BPNT2"	"IMPAD1"	"FLJ20421, IMPA3, gPAPP"	""	"BPNT2,IMPAD1,FLJ20421, IMPA3, gPAPP,"
"BPTF"	"FALZ"	"FAC1, NURF301"	""	"BPTF,FALZ,FAC1, NURF301,"
"BRD1"	""	"BRL, BRPF2"	""	"BRD1,,BRL, BRPF2,"
"BRD4"	""	"HUNKI, MCAP, CAP, HUNK1"	""	"BRD4,,HUNKI, MCAP, CAP, HUNK1,"
"BRD9"	""	"FLJ13441, SMARCI2"	""	"BRD9,,FLJ13441, SMARCI2,"
"BRF2"	""	"FLJ11052, BRFU, TFIIIB50"	""	"BRF2,,FLJ11052, BRFU, TFIIIB50,"
"BRINP2"	"FAM5B"	"DBCCR1L2"	""	"BRINP2,FAM5B,DBCCR1L2,"
"BRINP3"	"FAM5C"	"DBCCR1L, DBCCR1L1"	""	"BRINP3,FAM5C,DBCCR1L, DBCCR1L1,"
"BRIX1"	"BXDC2"	"BRIX, FLJ11100"	""	"BRIX1,BXDC2,BRIX, FLJ11100,"
"BRME1"	"C19orf57"	"MGC11271, MEIOK21"	""	"BRME1,C19orf57,MGC11271, MEIOK21,"
"BROX"	"C1orf58"	"FLJ32421"	""	"BROX,C1orf58,FLJ32421,"
"BST2"	""	"CD317, tetherin, BST-2, HM1.24"	""	"BST2,,CD317, tetherin, BST-2, HM1.24,"
"BTBD17"	""	"LGALS3BPL, BTBD17A, TANGO10A"	""	"BTBD17,,LGALS3BPL, BTBD17A, TANGO10A,"
"BTG2"	""	"PC3, TIS21, MGC126063, MGC126064, APRO1"	""	"BTG2,,PC3, TIS21, MGC126063, MGC126064, APRO1,"
"BTG2-DT"	"LINC01136"	""	"LINC01136"	"BTG2-DT,LINC01136,,LINC01136"
"BTNL10"	""	"BUTR1, BTN4"	""	"BTNL10,,BUTR1, BTN4,"
"C1orf21"	""	"PIG13"	""	"C1orf21,,PIG13,"
"C1orf35"	""	"MGC4174, MMTAG2"	""	"C1orf35,,MGC4174, MMTAG2,"
"C1orf43"	""	"NICE-3, DKFZp586G1722"	""	"C1orf43,,NICE-3, DKFZp586G1722,"
"C1orf50"	""	"MGC955"	""	"C1orf50,,MGC955,"
"C1orf53"	""	""	""	"C1orf53,,,"
"C1orf54"	""	"FLJ23221"	""	"C1orf54,,FLJ23221,"
"C1orf56"	""	"FLJ20519, MENT"	""	"C1orf56,,FLJ20519, MENT,"
"C1orf68"	""	"LEP7, XP32"	""	"C1orf68,,LEP7, XP32,"
"C1orf74"	""	"FLJ25078, URLC4"	""	"C1orf74,,FLJ25078, URLC4,"
"C1orf100"	""	""	""	"C1orf100,,,"
"C1orf105"	""	""	""	"C1orf105,,,"
"C1orf112"	""	"FLJ10706"	""	"C1orf112,,FLJ10706,"
"C1orf115"	""	"FLJ14146, RDD1"	""	"C1orf115,,FLJ14146, RDD1,"
"C1orf116"	""	"SARG, FLJ36507, MGC2742, MGC4309"	""	"C1orf116,,SARG, FLJ36507, MGC2742, MGC4309,"
"C1orf131"	""	"DKFZp547B1713"	""	"C1orf131,,DKFZp547B1713,"
"C1orf147"	""	"FLJ32597"	""	"C1orf147,,FLJ32597,"
"C1orf198"	""	"FLJ14525, MGC10710, FLJ16283, DKFZp667D152, FLJ38847"	""	"C1orf198,,FLJ14525, MGC10710, FLJ16283, DKFZp667D152, FLJ38847,"
"C1orf210"	""	"MGC52423, TEMP"	""	"C1orf210,,MGC52423, TEMP,"
"C1orf220"	""	"FLJ35530"	""	"C1orf220,,FLJ35530,"
"C1orf226"	""	"FLJ13137"	""	"C1orf226,,FLJ13137,"
"C1QTNF3"	""	"CTRP3, Cors, Corcs, 2310005P21Rik, Cors-26"	""	"C1QTNF3,,CTRP3, Cors, Corcs, 2310005P21Rik, Cors-26,"
"C1QTNF3-AMACR"	""	""	""	"C1QTNF3-AMACR,,,"
"C1R"	""	""	""	"C1R,,,"
"C1RL"	""	"C1r-LP, C1RL1"	""	"C1RL,,C1r-LP, C1RL1,"
"C1S"	""	""	""	"C1S,,,"
"C2CD4D"	""	"FAM148D"	""	"C2CD4D,,FAM148D,"
"C2CD4D-AS1"	""	""	""	"C2CD4D-AS1,,,"
"C2orf16"	""	"DKFZp434G118"	""	"C2orf16,,DKFZp434G118,"
"C3orf33"	""	"FLJ31139, AC3-33"	""	"C3orf33,,FLJ31139, AC3-33,"
"C3orf70"	""	""	""	"C3orf70,,,"
"C3orf80"	""	""	""	"C3orf80,,,"
"C3P1"	""	"CPLP"	""	"C3P1,,CPLP,"
"C4BPA"	"C4BP"	""	""	"C4BPA,C4BP,,"
"C4BPB"	"C4BP"	""	""	"C4BPB,C4BP,,"
"C4orf48"	""	""	""	"C4orf48,,,"
"C5orf22"	""	"FLJ11193"	""	"C5orf22,,FLJ11193,"
"C5orf34"	""	"FLJ32363"	""	"C5orf34,,FLJ32363,"
"C5orf38"	""	"CEI, IRX2NB"	""	"C5orf38,,CEI, IRX2NB,"
"C5orf49"	""	"LOC134121"	""	"C5orf49,,LOC134121,"
"C6"	""	""	""	"C6,,,"
"C7"	""	""	""	"C7,,,"
"C8G"	""	""	""	"C8G,,,"
"C8orf17"	""	"MOST-1"	""	"C8orf17,,MOST-1,"
"C8orf33"	""	"FLJ20989"	""	"C8orf33,,FLJ20989,"
"C8orf34"	""	"vest-1, VEST1"	""	"C8orf34,,vest-1, VEST1,"
"C8orf34-AS1"	""	""	"C8orf34-AS1"	"C8orf34-AS1,,,C8orf34-AS1"
"C8orf44"	""	"FLJ11267"	""	"C8orf44,,FLJ11267,"
"C8orf44-SGK3"	""	""	""	"C8orf44-SGK3,,,"
"C8orf48"	""	"FLJ25402"	""	"C8orf48,,FLJ25402,"
"C8orf58"	""	"FLJ34715"	""	"C8orf58,,FLJ34715,"
"C8orf74"	""	""	""	"C8orf74,,,"
"C8orf76"	""	"FLJ14825"	""	"C8orf76,,FLJ14825,"
"C8orf82"	""	"MGC70857"	""	"C8orf82,,MGC70857,"
"C8orf86"	""	"FLJ43582"	""	"C8orf86,,FLJ43582,"
"C8orf88"	""	""	""	"C8orf88,,,"
"C8orf89"	""	""	""	"C8orf89,,,"
"C9"	""	""	""	"C9,,,"
"C11orf24"	""	"DM4E3"	""	"C11orf24,,DM4E3,"
"C12orf57"	""	"GRCC10, C10"	""	"C12orf57,,GRCC10, C10,"
"C17orf58"	""	""	""	"C17orf58,,,"
"C17orf98"	""	"LOC388381"	""	"C17orf98,,LOC388381,"
"C19orf12"	"SPG43"	"MGC10922, DKFZP762D096, NBIA4, MPAN"	""	"C19orf12,SPG43,MGC10922, DKFZP762D096, NBIA4, MPAN,"
"C19orf33"	""	"IMUP-1, IMUP-2, H2RSP, IMUP"	""	"C19orf33,,IMUP-1, IMUP-2, H2RSP, IMUP,"
"C19orf38"	""	"HIDE1"	""	"C19orf38,,HIDE1,"
"C19orf44"	""	"FLJ21742"	""	"C19orf44,,FLJ21742,"
"C19orf47"	""	"FLJ36888"	""	"C19orf47,,FLJ36888,"
"C19orf53"	""	"HSPC023, LYDG10"	""	"C19orf53,,HSPC023, LYDG10,"
"C19orf54"	""	"FLJ41131"	""	"C19orf54,,FLJ41131,"
"C19orf67"	""	""	""	"C19orf67,,,"
"C20orf85"	""	"bA196N14.1, LLC1"	""	"C20orf85,,bA196N14.1, LLC1,"
"C20orf144"	""	"dJ63M2.6, bclt"	""	"C20orf144,,dJ63M2.6, bclt,"
"C20orf203"	""	"FLJ33706"	""	"C20orf203,,FLJ33706,"
"C20orf204"	"PRR17, NCRNA00176, LINC00176"	"DKFZp434G015, FLJ27267"	""	"C20orf204,PRR17, NCRNA00176, LINC00176,DKFZp434G015, FLJ27267,"
"CA1"	""	"Car1"	""	"CA1,,Car1,"
"CA2"	""	"Car2, CA-II, CAII"	""	"CA2,,Car2, CA-II, CAII,"
"CA3"	""	"Car3, CAIII"	""	"CA3,,Car3, CAIII,"
"CA8"	"CALS"	"CARP"	""	"CA8,CALS,CARP,"
"CA13"	""	"CAXIII, FLJ37995, MGC59868"	""	"CA13,,CAXIII, FLJ37995, MGC59868,"
"CA14"	""	""	""	"CA14,,,"
"CABLES2"	"C20orf150"	"dJ908M14.2, ik3-2"	""	"CABLES2,C20orf150,dJ908M14.2, ik3-2,"
"CABP2"	"DFNB93"	""	""	"CABP2,DFNB93,,"
"CABP4"	""	"CSNB2B"	""	"CABP4,,CSNB2B,"
"CACNA1A"	"CACNL1A4, SCA6, MHP1, MHP"	"Cav2.1, EA2, APCA, HPCA, FHM"	""	"CACNA1A,CACNL1A4, SCA6, MHP1, MHP,Cav2.1, EA2, APCA, HPCA, FHM,"
"CACNA1E"	"CACNL1A6"	"Cav2.3, BII, CACH6"	""	"CACNA1E,CACNL1A6,Cav2.3, BII, CACH6,"
"CACNA1S"	"HOKPP, MHS5, CACNL1A3"	"Cav1.1, hypoPP"	""	"CACNA1S,HOKPP, MHS5, CACNL1A3,Cav1.1, hypoPP,"
"CACYBP"	""	"SIP, S100A6BP"	""	"CACYBP,,SIP, S100A6BP,"
"CAD"	""	"GATD4"	""	"CAD,,GATD4,"
"CADM3"	"IGSF4B"	"BIgR, FLJ10698, TSLL1, NECL1, SynCAM3, Necl-1"	""	"CADM3,IGSF4B,BIgR, FLJ10698, TSLL1, NECL1, SynCAM3, Necl-1,"
"CADM3-AS1"	""	"CTA-134P22.2"	"CADM3-AS1"	"CADM3-AS1,,CTA-134P22.2,CADM3-AS1"
"CALB1"	"CALB"	""	""	"CALB1,CALB,,"
"CALM2"	""	"PHKD, CAMII"	""	"CALM2,,PHKD, CAMII,"
"CALR"	""	"RO, SSA, cC1qR, CRT, FLJ26680"	""	"CALR,,RO, SSA, cC1qR, CRT, FLJ26680,"
"CALR3"	""	"CRT2, FLJ25355, MGC26577, CT93"	""	"CALR3,,CRT2, FLJ25355, MGC26577, CT93,"
"CAMK1G"	""	"VWS1, CLICKIII, dJ272L16.1"	""	"CAMK1G,,VWS1, CLICKIII, dJ272L16.1,"
"CAMK2N2"	""	"CaM-KIIN"	""	"CAMK2N2,,CaM-KIIN,"
"CAMSAP2"	"CAMSAP1L1"	"KIAA1078"	""	"CAMSAP2,CAMSAP1L1,KIAA1078,"
"CAP1"	""	"CAP"	""	"CAP1,,CAP,"
"CAPN1"	""	"muCANP, muCL, CANP, CANPL1"	""	"CAPN1,,muCANP, muCL, CANP, CANPL1,"
"CAPN2"	""	"mCANP, CANPml, CANPL2"	""	"CAPN2,,mCANP, CANPml, CANPL2,"
"CAPN5"	"VRNI"	"nCL-3, HTRA3, ADNIV"	""	"CAPN5,VRNI,nCL-3, HTRA3, ADNIV,"
"CAPN8"	""	"nCL-2"	""	"CAPN8,,nCL-2,"
"CAPN9"	""	"nCL-4, GC36"	""	"CAPN9,,nCL-4, GC36,"
"CAPN12"	""	""	""	"CAPN12,,,"
"CAPNS1"	"CAPN4"	"CANP, CANPS, 30K, CDPS"	""	"CAPNS1,CAPN4,CANP, CANPS, 30K, CDPS,"
"CAPSL"	""	"MGC26610"	""	"CAPSL,,MGC26610,"
"CARD6"	""	"CINCIN1"	""	"CARD6,,CINCIN1,"
"CARD16"	""	"COP1, COP, PSEUDO-ICE, LLID-114769"	""	"CARD16,,COP1, COP, PSEUDO-ICE, LLID-114769,"
"CARM1"	""	"PRMT4"	""	"CARM1,,PRMT4,"
"CARNS1"	"ATPGD1"	"KIAA1394"	""	"CARNS1,ATPGD1,KIAA1394,"
"CARS2"	""	"FLJ12118"	""	"CARS2,,FLJ12118,"
"CASC3"	""	"MLN51, BTZ"	""	"CASC3,,MLN51, BTZ,"
"CASC8"	""	"LINC00860, CARLo-1"	""	"CASC8,,LINC00860, CARLo-1,"
"CASC9"	""	"LINC00981, ESCCAL-1, linc-JPH1"	"CASC9"	"CASC9,,LINC00981, ESCCAL-1, linc-JPH1,CASC9"
"CASKIN2"	""	"KIAA1139, FLJ21609, ANKS5B"	""	"CASKIN2,,KIAA1139, FLJ21609, ANKS5B,"
"CASP4LP"	"CASP17P"	""	""	"CASP4LP,CASP17P,,"
"CASP14"	""	"MICE, MGC119078, MGC119079"	""	"CASP14,,MICE, MGC119078, MGC119079,"
"CASQ1"	"CASQ"	"PDIB1"	""	"CASQ1,CASQ,PDIB1,"
"CASS4"	"C20orf32"	"HEFL, HEPL"	""	"CASS4,C20orf32,HEFL, HEPL,"
"CASTOR3"	"GATS"	"DKFZp686B07267, STAG3OS"	""	"CASTOR3,GATS,DKFZp686B07267, STAG3OS,"
"CATSPERE"	"C1orf101"	"MGC33370"	""	"CATSPERE,C1orf101,MGC33370,"
"CATSPERG"	"C19orf15"	"DKFZp434A1022, FLJ46353"	""	"CATSPERG,C19orf15,DKFZp434A1022, FLJ46353,"
"CATSPERZ"	"C11orf20, TEX40"	"DKFZP566E164"	""	"CATSPERZ,C11orf20, TEX40,DKFZP566E164,"
"CBFA2T2"	""	"MTGR1, ZMYND3"	""	"CBFA2T2,,MTGR1, ZMYND3,"
"CBLC"	""	"CBL-3, CBL-SL, RNF57"	""	"CBLC,,CBL-3, CBL-SL, RNF57,"
"CBLN4"	"CBLNL1"	"dJ885A10.1"	""	"CBLN4,CBLNL1,dJ885A10.1,"
"CBWD2"	""	""	""	"CBWD2,,,"
"CBX1"	""	"HP1Hs-beta, M31, MOD1, CBX, HP1-BETA"	""	"CBX1,,HP1Hs-beta, M31, MOD1, CBX, HP1-BETA,"
"CBX2"	"CDCA6"	"MGC10561, M33"	""	"CBX2,CDCA6,MGC10561, M33,"
"CBX3P2"	""	""	""	"CBX3P2,,,"
"CBX4"	""	"hPC2, PC2, NBP16"	""	"CBX4,,hPC2, PC2, NBP16,"
"CBX8"	""	"RC1, HPC3, PC3"	""	"CBX8,,RC1, HPC3, PC3,"
"CC2D1A"	""	"FLJ20241, MRT3, Freud-1, Lgd2, TAPE, Aki-1"	""	"CC2D1A,,FLJ20241, MRT3, Freud-1, Lgd2, TAPE, Aki-1,"
"CCAR2"	"KIAA1967"	"DBC-1, DBC1, NET35"	""	"CCAR2,KIAA1967,DBC-1, DBC1, NET35,"
"CCAT1"	""	"CARLo-5, onco-lncRNA-40"	""	"CCAT1,,CARLo-5, onco-lncRNA-40,"
"CCAT2"	""	"NCCP1, LINC00873"	""	"CCAT2,,NCCP1, LINC00873,"
"CCDC25"	""	"FLJ10853"	""	"CCDC25,,FLJ10853,"
"CCDC26"	""	"MGC27434, RAM"	"CCDC26"	"CCDC26,,MGC27434, RAM,CCDC26"
"CCDC30"	""	"FLJ20972, PFD6L, LOC728621"	""	"CCDC30,,FLJ20972, PFD6L, LOC728621,"
"CCDC39"	""	"DKFZp434A128, CILD14, FAP59, CFAP59"	""	"CCDC39,,DKFZp434A128, CILD14, FAP59, CFAP59,"
"CCDC40"	""	"FLJ20753, KIAA1640, FLJ32021, CILD15, FAP172, CFAP172"	""	"CCDC40,,FLJ20753, KIAA1640, FLJ32021, CILD15, FAP172, CFAP172,"
"CCDC50"	"C3orf6, DFNA44"	"Ymer"	""	"CCDC50,C3orf6, DFNA44,Ymer,"
"CCDC57"	""	"FLJ00130, FLJ23754"	""	"CCDC57,,FLJ00130, FLJ23754,"
"CCDC85B"	""	"DIPA"	""	"CCDC85B,,DIPA,"
"CCDC88B"	"CCDC88"	"FLJ37970, BRLZ, HkRP3, FLJ00354, GIPIE"	""	"CCDC88B,CCDC88,FLJ37970, BRLZ, HkRP3, FLJ00354, GIPIE,"
"CCDC105"	""	"FLJ40365"	""	"CCDC105,,FLJ40365,"
"CCDC121"	""	"FLJ43364, FLJ13646"	""	"CCDC121,,FLJ43364, FLJ13646,"
"CCDC124"	""	"Lso2, oxs1"	""	"CCDC124,,Lso2, oxs1,"
"CCDC127"	""	"FLJ25701"	""	"CCDC127,,FLJ25701,"
"CCDC137"	""	"MGC16597"	""	"CCDC137,,MGC16597,"
"CCDC152"	""	"LOC100129792"	""	"CCDC152,,LOC100129792,"
"CCDC159"	""	""	""	"CCDC159,,,"
"CCDC166"	""	""	""	"CCDC166,,,"
"CCDC170"	"C6orf97"	"FLJ23305, bA282P11.1"	""	"CCDC170,C6orf97,FLJ23305, bA282P11.1,"
"CCDC181"	"C1orf114"	"FLJ25846"	""	"CCDC181,C1orf114,FLJ25846,"
"CCDC185"	"C1orf65"	"FLJ35728"	""	"CCDC185,C1orf65,FLJ35728,"
"CCDC190"	"C1orf110"	"MGC48998"	""	"CCDC190,C1orf110,MGC48998,"
"CCER2"	""	""	""	"CCER2,,,"
"CCL28"	""	"SCYA28, MEC, CCK1"	""	"CCL28,,SCYA28, MEC, CCK1,"
"CCM2L"	"C20orf160"	"dJ310O13.5"	""	"CCM2L,C20orf160,dJ310O13.5,"
"CCN3"	"NOV"	"IGFBP9"	""	"CCN3,NOV,IGFBP9,"
"CCN4"	"WISP1-OT1, WISP1-UT1, WISP1"	"WISP-1"	""	"CCN4,WISP1-OT1, WISP1-UT1, WISP1,WISP-1,"
"CCN5"	"WISP2"	"CT58, CTGF-L, WISP-2"	""	"CCN5,WISP2,CT58, CTGF-L, WISP-2,"
"CCND1"	"BCL1, D11S287E, PRAD1"	"U21B31"	""	"CCND1,BCL1, D11S287E, PRAD1,U21B31,"
"CCNE1"	"CCNE"	""	""	"CCNE1,CCNE,,"
"CCNE2"	""	"CYCE2"	""	"CCNE2,,CYCE2,"
"CCNL1"	""	""	""	"CCNL1,,,"
"CCNL1"	""	"ania-6a"	""	"CCNL1,,ania-6a,"
"CCNP"	"CNTD2"	"FLJ13265"	""	"CCNP,CNTD2,FLJ13265,"
"CCNQP1"	"FAM58B, FAM58BP"	""	""	"CCNQP1,FAM58B, FAM58BP,,"
"CCSAP"	"C1orf96"	"FLJ41471, CSAP"	""	"CCSAP,C1orf96,FLJ41471, CSAP,"
"CCT3"	"TRIC5"	"Cctg"	""	"CCT3,TRIC5,Cctg,"
"CCT5"	""	"KIAA0098"	""	"CCT5,,KIAA0098,"
"CD1A"	"CD1"	""	""	"CD1A,CD1,,"
"CD1B"	"CD1"	""	""	"CD1B,CD1,,"
"CD1C"	"CD1"	""	""	"CD1C,CD1,,"
"CD1D"	""	""	""	"CD1D,,,"
"CD1E"	""	""	""	"CD1E,,,"
"CD4"	""	""	""	"CD4,,,"
"CD5L"	"API6"	"Spalpha"	""	"CD5L,API6,Spalpha,"
"CD7"	""	"GP40, LEU-9, TP41, Tp40"	""	"CD7,,GP40, LEU-9, TP41, Tp40,"
"CD9"	"MIC3"	"BA2, P24, TSPAN29, MRP-1"	""	"CD9,MIC3,BA2, P24, TSPAN29, MRP-1,"
"CD22"	""	"SIGLEC-2, SIGLEC2"	""	"CD22,,SIGLEC-2, SIGLEC2,"
"CD27"	"TNFRSF7"	"S152, Tp55"	""	"CD27,TNFRSF7,S152, Tp55,"
"CD27-AS1"	""	""	"CD27-AS1"	"CD27-AS1,,,CD27-AS1"
"CD34"	""	""	""	"CD34,,,"
"CD40"	"TNFRSF5"	"p50, Bp50"	""	"CD40,TNFRSF5,p50, Bp50,"
"CD46"	"MIC10, MCP"	"TRA2.10, MGC26544, TLX"	""	"CD46,MIC10, MCP,TRA2.10, MGC26544, TLX,"
"CD48"	"BCM1"	"BLAST, mCD48, hCD48, SLAMF2"	""	"CD48,BCM1,BLAST, mCD48, hCD48, SLAMF2,"
"CD55"	"DAF"	"CR, TC, CROM"	""	"CD55,DAF,CR, TC, CROM,"
"CD84"	""	"SLAMF5, hCD84, mCD84"	""	"CD84,,SLAMF5, hCD84, mCD84,"
"CD160"	""	"BY55, NK1, NK28"	""	"CD160,,BY55, NK1, NK28,"
"CD244"	""	"2B4, NAIL, NKR2B4, Nmrk, SLAMF4"	""	"CD244,,2B4, NAIL, NKR2B4, Nmrk, SLAMF4,"
"CD247"	"CD3Z"	"CD3H, CD3Q"	""	"CD247,CD3Z,CD3H, CD3Q,"
"CD300A"	""	"Irp60, CMRF35H, CMRF-35-H9, IRC1, IRC2, IGSF12"	""	"CD300A,,Irp60, CMRF35H, CMRF-35-H9, IRC1, IRC2, IGSF12,"
"CD300C"	""	"CMRF35, LIR, CMRF-35A, CMRF35A, IGSF16"	""	"CD300C,,CMRF35, LIR, CMRF-35A, CMRF35A, IGSF16,"
"CD300E"	"CD300LE"	"IREM2, CLM2"	""	"CD300E,CD300LE,IREM2, CLM2,"
"CD300LB"	""	"TREM5, CLM7"	""	"CD300LB,,TREM5, CLM7,"
"CD300LD"	""	"CMRF35A4, CD300D"	""	"CD300LD,,CMRF35A4, CD300D,"
"CD300LD-AS1"	"C17orf77"	"FLJ31882"	""	"CD300LD-AS1,C17orf77,FLJ31882,"
"CD300LF"	""	"IREM1, NKIR, IGSF13, CD300f, CLM1"	""	"CD300LF,,IREM1, NKIR, IGSF13, CD300f, CLM1,"
